"","gene_short_name","status","term","estimate","std_err","test_val","p_value","q_value"
"1117","CTCF","OK","groupNormal",-0.5411693,0.2321601,-2.331,0.0201,1
"1118","SNTB2","OK","groupNormal",-0.3341567,0.1622538,-2.0595,0.0399,1
"1119","NQO1","OK","groupNormal",-0.638131,0.187793,-3.3981,0.000726,1
"1120","PHLPP2","OK","groupNormal",-1.963182,0.8201145,-2.3938,0.017,1
"1121","TMEM170A","OK","groupNormal",-0.517464,0.248746,-2.0803,0.0379,1
"1122","MON1B","OK","groupNormal",0.9021887,0.3340962,2.7004,0.00713,1
"1123","X7SK.2","OK","groupNormal",0.2548967,0.0944296,2.6993,0.0072,1
"1124","OSGIN1","OK","groupNormal",1.502554,0.7343018,2.0462,0.0412,1
"1125","CYBA","OK","groupNormal",0.3855927,0.1392587,2.7689,0.00581,1
"1126","APRT","OK","groupNormal",-0.5546642,0.1896181,-2.9252,0.00358,1
"1127","DEF8","OK","groupNormal",1.351004,0.497785,2.714,0.00685,1
"1128","RPH3AL","OK","groupNormal",1.077671,0.2772752,3.8866,0.000114,1
"1129","GLOD4","OK","groupNormal",-0.688113,0.3236864,-2.1259,0.0339,1
"1130","NXN","OK","groupNormal",-0.7649396,0.3399616,-2.2501,0.0248,1
"1131","RTN4RL1","OK","groupNormal",-1.532399,0.6692731,-2.2896,0.0224,1
"1132","ZZEF1","OK","groupNormal",0.6900602,0.2999829,2.3003,0.0218,1
"1133","PSMB6","OK","groupNormal",-0.3190583,0.15601,-2.0451,0.0413,1
"1134","SPAG7","OK","groupNormal",-0.5959356,0.2793938,-2.133,0.0334,1
"1135","XAF1","OK","groupNormal",-0.5099479,0.1568498,-3.2512,0.00122,1
"1136","CD68","OK","groupNormal",-1.365345,0.6460306,-2.1134,0.035,1
"1137","PER1","OK","groupNormal",0.3841694,0.160518,2.3933,0.017,1
"1138","RPL26","OK","groupNormal",0.1705825,0.0613089,2.7823,0.00558,1
"1139","SNORD3A","OK","groupNormal",1.790236,0.750248,2.3862,0.0174,1
"1140","EPN2","OK","groupNormal",0.4163644,0.2026309,2.0548,0.0404,1
"1141","USP22","OK","groupNormal",0.5405934,0.2317281,2.3329,0.02,1
"1142","KSR1","OK","groupNormal",1.102755,0.4292509,2.569,0.0105,1
"1143","TRAF4","OK","groupNormal",1.404114,0.704193,1.9939,0.0466,1
"1144","ERAL1","OK","groupNormal",-1.324102,0.6080235,-2.1777,0.0298,1
"1145","CCL2","OK","groupNormal",-0.5627027,0.2466874,-2.281,0.0229,1
"1146","SLFN12","OK","groupNormal",-1.205496,0.4178237,-2.8852,0.00406,1
"1147","CCL23","OK","groupNormal",2.06217,0.751976,2.7423,0.00629,1
"1148","AATF","OK","groupNormal",0.850229,0.4305602,1.9747,0.0488,1
"1149","RPL23","OK","groupNormal",0.1620693,0.0643681,2.5179,0.0121,1
"1150","RPL19","OK","groupNormal",0.1862023,0.0560609,3.3214,0.000953,1
"1151","CDK12","OK","groupNormal",-0.4014387,0.1957111,-2.0512,0.0407,1
"1152","CSF3","OK","groupNormal",1.315677,0.4341148,3.0307,0.00255,1
"1153","THRA","OK","groupNormal",1.279411,0.624258,2.0495,0.0409,1
"1154","IGFBP4","OK","groupNormal",0.1254389,0.0498535,2.5161,0.0121,1
"1155","KRT27","OK","groupNormal",-2.879472,1.0779479,-2.6713,0.00777,1
"1156","TMEM99","OK","groupNormal",-1.136503,0.4322296,-2.6294,0.00879,1
"1157","EIF1","OK","groupNormal",0.1752087,0.0487703,3.5925,0.000356,1
"1158","KAT2A","OK","groupNormal",-0.9823525,0.3862427,-2.5434,0.0112,1
"1159","RAMP2","OK","groupNormal",-0.3707222,0.0896664,-4.1345,4.1e-05,1
"1160","AOC3","OK","groupNormal",-2.656329,1.1463639,-2.3172,0.0208,1
"1161","RPL27","OK","groupNormal",0.1533636,0.0736231,2.0831,0.0377,1
"1162","DHX8","OK","groupNormal",0.9429384,0.4792365,1.9676,0.0496,1
"1163","SOST","OK","groupNormal",-1.424185,0.5229885,-2.7232,0.00666,1
"1164","CD300LG","OK","groupNormal",1.369023,0.6048105,2.2636,0.024,1
"1165","ASB16.AS1","OK","groupNormal",-2.186325,1.091581,-2.0029,0.0457,1
"1166","UBTF","OK","groupNormal",-0.5768874,0.2236923,-2.5789,0.0102,1
"1167","GJC1","OK","groupNormal",-1.00767,0.4597992,-2.1915,0.0288,1
"1168","ARL17A","OK","groupNormal",1.988062,0.9733021,2.0426,0.0416,1
"1169","ABI3","OK","groupNormal",-0.6569301,0.2697427,-2.4354,0.0152,1
"1170","ITGA3","OK","groupNormal",-0.9823525,0.3653646,-2.6887,0.00738,1
"1171","TOB1","OK","groupNormal",-0.3600796,0.1541662,-2.3357,0.0199,1
"1172","MMD","OK","groupNormal",1.588076,0.5581315,2.8453,0.0046,1
"1173","PCTP","OK","groupNormal",1.177132,0.4765743,2.47,0.0138,1
"1174","DGKE","OK","groupNormal",-0.3624775,0.1761422,-2.0579,0.0401,1
"1175","TRIM37","OK","groupNormal",-2.043224,0.6503261,-3.1418,0.00177,1
"1176","PRR11","OK","groupNormal",-1.87617,0.7446311,-2.5196,0.012,1
"1177","CA4","OK","groupNormal",0.2434728,0.0586208,4.1534,3.78e-05,1
"1178","METTL2A","OK","groupNormal",-1.403566,0.5728114,-2.4503,0.0146,1
"1179","ACE","OK","groupNormal",-1.493178,0.6660558,-2.2418,0.0254,1
"1180","CD79B","OK","groupNormal",-0.9023098,0.3151762,-2.8629,0.00435,1
"1181","POLG2","OK","groupNormal",-0.4828584,0.1988283,-2.4285,0.0155,1
"1182","PRKCA","OK","groupNormal",0.8300263,0.3555503,2.3345,0.0199,1
"1183","ARSG","OK","groupNormal",0.7883536,0.3977275,1.9821,0.0479,1
"1184","SLC16A6","OK","groupNormal",1.010078,0.2940161,3.4355,0.000635,1
"1185","AC079210.1","OK","groupNormal",-1.557717,0.5581562,-2.7908,0.00543,1
"1186","KCNJ2","OK","groupNormal",1.502554,0.5494966,2.7344,0.00644,1
"1187","RPL38","OK","groupNormal",0.2637243,0.0649513,4.0603,5.59e-05,1
"1188","GGA3","OK","groupNormal",-0.9023098,0.4348533,-2.075,0.0384,1
"1189","CASKIN2","OK","groupNormal",-0.3008624,0.1185985,-2.5368,0.0115,1
"1190","H3F3B","OK","groupNormal",0.1104515,0.0491096,2.2491,0.0249,1
"1191","UBALD2","OK","groupNormal",0.3692563,0.171326,2.1553,0.0316,1
"1192","SEC14L1","OK","groupNormal",0.1647447,0.0682854,2.4126,0.0162,1
"1193","SOCS3","OK","groupNormal",0.3073849,0.0816625,3.7641,0.000185,1
"1194","CBX4","OK","groupNormal",0.5019223,0.242019,2.0739,0.0385,1
"1195","MRPL12","OK","groupNormal",1.052353,0.5298874,1.986,0.0475,1
"1196","ARHGDIA","OK","groupNormal",0.3045694,0.1294929,2.352,0.019,1
"1197","SLC16A3","OK","groupNormal",0.6481388,0.1962139,3.3032,0.00102,1
"1198","AP005530.2","OK","groupNormal",1.392553,0.6245465,2.2297,0.0262,1
"1199","METTL4","OK","groupNormal",-1.00767,0.3942691,-2.5558,0.0109,1
"1200","SMCHD1","OK","groupNormal",-0.5768874,0.1629709,-3.5398,0.000433,1
"1201","PTPRM","OK","groupNormal",0.2560217,0.1186266,2.1582,0.0313,1
"1202","LDLRAD4","OK","groupNormal",-0.7679426,0.3659405,-2.0985,0.0363,1
"1203","ROCK1","OK","groupNormal",-0.2614484,0.1234274,-2.1182,0.0346,1
"1204","MIB1","OK","groupNormal",-0.4476756,0.2095771,-2.1361,0.0331,1
"1205","NPC1","OK","groupNormal",0.8007489,0.2692606,2.9739,0.00307,1
"1206","RPL17","OK","groupNormal",0.6716651,0.1689407,3.9757,7.92e-05,1
"1207","CCDC68","OK","groupNormal",-0.3784364,0.1456022,-2.5991,0.00959,1
"1208","ATP8B1","OK","groupNormal",-0.4073281,0.163946,-2.4845,0.0133,1
"1209","ZNF407","OK","groupNormal",-0.6435787,0.3078426,-2.0906,0.037,1
"1210","SLC52A3","OK","groupNormal",-1.740038,0.6196557,-2.8081,0.00516,1
"1211","SDCBP2","OK","groupNormal",0.8700316,0.3664875,2.374,0.0179,1
"1212","CDC25B","OK","groupNormal",-0.7060991,0.3195216,-2.2099,0.0275,1
"1213","AP5S1","OK","groupNormal",-1.424185,0.5943959,-2.396,0.0169,1
"1214","TMEM230","OK","groupNormal",-0.4294346,0.1676869,-2.5609,0.0107,1
"1215","BMP2","OK","groupNormal",0.8939644,0.323783,2.761,0.00595,1
"1216","PLCB1","OK","groupNormal",-0.835749,0.2611414,-3.2004,0.00145,1
"1217","JAG1","OK","groupNormal",-0.5162628,0.1489529,-3.4659,0.000568,1
"1218","BFSP1","OK","groupNormal",-1.164674,0.5717823,-2.0369,0.0421,1
"1219","SNX5","OK","groupNormal",-0.7898094,0.206309,-3.8283,0.000143,1
"1220","RIN2","OK","groupNormal",-0.3797193,0.1890757,-2.0083,0.0451,1
"1221","CRNKL1","OK","groupNormal",0.8444983,0.4067915,2.076,0.0383,1
"1222","THBD","OK","groupNormal",-0.2392449,0.101502,-2.357,0.0188,1
"1223","CD93","OK","groupNormal",0.4051547,0.1307986,3.0975,0.00205,1
"1224","CST3","OK","groupNormal",-0.2925442,0.1054903,-2.7732,0.0057,1
"1225","CHMP4B","OK","groupNormal",0.6947441,0.228076,3.0461,0.00243,1
"1226","AHCY","OK","groupNormal",1.404114,0.7048345,1.9921,0.0468,1
"1227","MAP1LC3A","OK","groupNormal",-0.5768874,0.2623377,-2.199,0.0283,1
"1228","GSS","OK","groupNormal",-0.7881965,0.380868,-2.0695,0.039,1
"1229","SCAND1","OK","groupNormal",0.3919657,0.1891781,2.0719,0.0387,1
"1230","PLCG1","OK","groupNormal",-0.510638,0.204996,-2.491,0.013,1
"1231","LPIN3","OK","groupNormal",-1.087713,0.4801031,-2.2656,0.0239,1
"1232","SRSF6","OK","groupNormal",0.3721932,0.1855578,2.0058,0.0454,1
"1233","PCIF1","OK","groupNormal",1.758487,0.7258431,2.4227,0.0157,1
"1234","SULF2","OK","groupNormal",0.438919,0.1074404,4.0852,5.04e-05,1
"1235","ZFAS1","OK","groupNormal",0.3428457,0.1292561,2.6525,0.00821,1
"1236","B4GALT5","OK","groupNormal",0.5522616,0.2028494,2.7225,0.00668,1
"1237","UBE2V1","OK","groupNormal",1.620337,0.6363825,2.5462,0.0112,1
"1238","PTPN1","OK","groupNormal",0.6758756,0.1926357,3.5086,0.000486,1
"1239","TSHZ2","OK","groupNormal",-1.729567,0.6202137,-2.7887,0.00547,1
"1240","CTSZ","OK","groupNormal",-0.6139286,0.1732454,-3.5437,0.000427,1
"1241","LAMA5","OK","groupNormal",0.488249,0.1644302,2.9693,0.00311,1
"1242","RPS21","OK","groupNormal",0.2400852,0.068723,3.4935,0.000514,1
"1243","PPDPF","OK","groupNormal",0.2863658,0.1149371,2.4915,0.013,1
"1244","DNAJC5","OK","groupNormal",1.06534,0.3691228,2.8861,0.00405,1
"1245","C2CD4C","OK","groupNormal",0.7060286,0.3014042,2.3425,0.0195,1
"1246","SHC2","OK","groupNormal",0.3946887,0.1597784,2.4702,0.0138,1
"1247","PALM","OK","groupNormal",0.4329294,0.1970427,2.1971,0.0284,1
"1248","C19orf24","OK","groupNormal",-0.8645694,0.4005824,-2.1583,0.0313,1
"1249","RPS15","OK","groupNormal",0.1320082,0.0536431,2.4609,0.0142,1
"1250","UQCR11.1","OK","groupNormal",0.2779012,0.1296264,2.1439,0.0325,1
"1251","ABHD17A","OK","groupNormal",-0.3086234,0.1313195,-2.3502,0.0191,1
"1252","BTBD2","OK","groupNormal",-1.107516,0.5483962,-2.0196,0.0439,1
"1253","AP3D1","OK","groupNormal",-0.6443287,0.2810454,-2.2926,0.0222,1
"1254","TBXA2R","OK","groupNormal",-0.6281807,0.3101275,-2.0256,0.0433,1
"1255","DAPK3","OK","groupNormal",0.998649,0.3712313,2.6901,0.00735,1
"1256","EEF2","OK","groupNormal",0.2497912,0.0930979,2.6831,0.0075,1
"1257","SIRT6","OK","groupNormal",2.131163,0.9081326,2.3468,0.0193,1
"1258","SH3GL1","OK","groupNormal",-0.5343278,0.1881027,-2.8406,0.00466,1
"1259","HDGFRP2","OK","groupNormal",-0.7047207,0.3581356,-1.9677,0.0496,1
"1260","PLIN5","OK","groupNormal",1.620337,0.5639414,2.8732,0.00421,1
"1261","RPL36","OK","groupNormal",0.1316956,0.0542718,2.4266,0.0156,1
"1262","RANBP3","OK","groupNormal",-1.227475,0.4435126,-2.7676,0.00583,1
"1263","TRIP10","OK","groupNormal",0.5217249,0.2626393,1.9865,0.0475,1
"1264","PET100","OK","groupNormal",0.5217249,0.2367145,2.204,0.0279,1
"1265","CERS4","OK","groupNormal",1.850861,0.8429557,2.1957,0.0285,1
"1266","CD320","OK","groupNormal",-0.8054218,0.1957721,-4.1141,4.46e-05,1
"1267","RPS28","OK","groupNormal",0.1368405,0.0492962,2.7759,0.00569,1
"1268","KANK3","OK","groupNormal",0.3855445,0.1048562,3.6769,0.000259,1
"1269","ANGPTL4","OK","groupNormal",0.3706847,0.1479891,2.5048,0.0125,1
"1270","MARCH2","OK","groupNormal",0.92719,0.22724,4.0802,5.14e-05,1
"1271","HNRNPM","OK","groupNormal",0.260841,0.1194357,2.1839,0.0294,1
"1272","DNMT1","OK","groupNormal",-0.3626328,0.1550335,-2.3391,0.0197,1
"1273","CTD.2369P2.8","OK","groupNormal",1.238403,0.4570815,2.7094,0.00694,1
"1274","CDC37","OK","groupNormal",0.2042286,0.0964928,2.1165,0.0347,1
"1275","CDKN2D","OK","groupNormal",0.9784833,0.3329415,2.9389,0.00343,1
"1276","SLC44A2","OK","groupNormal",-0.3238909,0.1378188,-2.3501,0.0191,1
"1277","RGL3","OK","groupNormal",1.369023,0.660394,2.073,0.0386,1
"1278","WDR83","OK","groupNormal",-0.8645694,0.4255508,-2.0316,0.0427,1
"1279","LYL1","OK","groupNormal",-0.8870423,0.2541828,-3.4898,0.000521,1
"1280","MIR24.2","OK","groupNormal",0.4202555,0.2100366,2.0009,0.0459,1
"1281","SYDE1","OK","groupNormal",1.214872,0.5672176,2.1418,0.0326,1
"1282","F2RL3","OK","groupNormal",0.8353825,0.3774005,2.2135,0.0273,1
"1283","OCEL1","OK","groupNormal",-1.205496,0.5377347,-2.2418,0.0254,1
"1284","NR2F6","OK","groupNormal",0.7265193,0.3012488,2.4117,0.0162,1
"1285","PLVAP","OK","groupNormal",-0.1430787,0.0683031,-2.0948,0.0366,1
"1286","CTD.2521M24.8","OK","groupNormal",-1.6755,0.8140438,-2.0582,0.04,1
"1287","UNC13A","OK","groupNormal",-1.387817,0.6418908,-2.1621,0.031,1
"1288","JAK3","OK","groupNormal",1.620337,0.7858019,2.062,0.0397,1
"1289","ARRDC2","OK","groupNormal",-0.7140885,0.2189229,-3.2618,0.00117,1
"1290","KIAA1683","OK","groupNormal",-0.5186185,0.2528564,-2.051,0.0407,1
"1291","JUND","OK","groupNormal",0.2428718,0.0622086,3.9042,0.000106,1
"1292","SSBP4","OK","groupNormal",-0.5451387,0.1921201,-2.8375,0.00471,1
"1293","UBA52","OK","groupNormal",0.17333,0.0734724,2.3591,0.0187,1
"1294","C19orf60","OK","groupNormal",-0.5228202,0.1855902,-2.8171,0.00502,1
"1295","GATAD2A","OK","groupNormal",-0.4189843,0.1858515,-2.2544,0.0246,1
"1296","ZNF486","OK","groupNormal",-2.186325,1.030348,-2.1219,0.0343,1
"1297","ZNF430","OK","groupNormal",0.9491689,0.4749004,1.9987,0.0461,1
"1298","ZNF91","OK","groupNormal",0.8634742,0.3666176,2.3552,0.0188,1
"1299","URI1","OK","groupNormal",-0.519729,0.23939,-2.1711,0.0303,1
"1300","TSHZ3","OK","groupNormal",-1.6755,0.6872159,-2.4381,0.0151,1
"1301","ANKRD27","OK","groupNormal",-1.115884,0.5368068,-2.0787,0.0381,1
"1302","CEBPA","OK","groupNormal",1.134829,0.3860645,2.9395,0.00342,1
"1303","CEBPG","OK","groupNormal",0.6208158,0.1964024,3.1609,0.00166,1
"1304","KMT2B","OK","groupNormal",0.8894497,0.4117449,2.1602,0.0312,1
"1305","CAPNS1","OK","groupNormal",0.2209304,0.1121504,1.9699,0.0493,1
"1306","CTD.2540F13.2","OK","groupNormal",-2.656329,1.101201,-2.4122,0.0162,1
"1307","NFKBIB","OK","groupNormal",1.315677,0.3940868,3.3385,0.000897,1
"1308","FBXO17","OK","groupNormal",-0.9397929,0.4753688,-1.977,0.0485,1
"1309","ZFP36","OK","groupNormal",0.1936465,0.0696708,2.7794,0.00563,1
"1310","RPS16","OK","groupNormal",0.1806252,0.0644207,2.8038,0.00522,1
"1311","ITPKC","OK","groupNormal",0.6758756,0.220931,3.0592,0.00232,1
"1312","SNRPA","OK","groupNormal",0.8284552,0.3937678,2.1039,0.0358,1
"1313","EGLN2","OK","groupNormal",-0.4913652,0.2282687,-2.1526,0.0318,1
"1314","EXOSC5","OK","groupNormal",-2.522797,1.1174231,-2.2577,0.0243,1
"1315","RPS19","OK","groupNormal",0.227983,0.0560304,4.0689,5.39e-05,1
"1316","ZNF226","OK","groupNormal",-0.8000309,0.3811815,-2.0988,0.0363,1
"1317","BCAM","OK","groupNormal",-0.3057346,0.0790129,-3.8694,0.000122,1
"1318","PVRL2","OK","groupNormal",0.217568,0.1098138,1.9812,0.048,1
"1319","RELB","OK","groupNormal",0.6314238,0.2933956,2.1521,0.0318,1
"1320","EXOC3L2","OK","groupNormal",-0.305497,0.0935809,-3.2645,0.0012,1
"1321","CD3EAP","OK","groupNormal",-1.107516,0.4385151,-2.5256,0.0118,1
"1322","VASP","OK","groupNormal",-0.5078945,0.1768135,-2.8725,0.00422,1
"1323","OPA3","OK","groupNormal",1.638686,0.6112469,2.6809,0.00756,1
"1324","SNRPD2","OK","groupNormal",0.4098766,0.1906551,2.1498,0.032,1
"1325","TMEM160","OK","groupNormal",0.5437038,0.2745537,1.9803,0.0481,1
"1326","ZC3H4","OK","groupNormal",1.214872,0.4332052,2.8044,0.00521,1
"1327","GLTSCR1","OK","groupNormal",-1.452356,0.5411941,-2.6836,0.0075,1
"1328","RPL18","OK","groupNormal",0.1495535,0.0589311,2.5378,0.0114,1
"1329","BAX","OK","groupNormal",-0.415957,0.2079478,-2.0003,0.0459,1
"1330","RUVBL2","OK","groupNormal",1.470805,0.6092394,2.4142,0.0161,1
"1331","TRPM4","OK","groupNormal",0.8421968,0.3544292,2.3762,0.0178,1
"1332","RPL13A","OK","groupNormal",0.1612835,0.0482166,3.345,0.000877,1
"1333","ZNF350","OK","groupNormal",2.418845,1.072285,2.2558,0.0245,1
"1334","ZNF160","OK","groupNormal",1.145879,0.3038033,3.7718,0.000179,1
"1335","MYADM","OK","groupNormal",0.529447,0.2244664,2.3587,0.0187,1
"1336","NDUFA3","OK","groupNormal",-0.3647129,0.1534772,-2.3763,0.0178,1
"1337","TFPT","OK","groupNormal",-0.8425905,0.3249077,-2.5933,0.00975,1
"1338","MBOAT7","OK","groupNormal",1.157714,0.5036219,2.2988,0.0219,1
"1339","RPS9","OK","groupNormal",0.1515279,0.0592929,2.5556,0.0109,1
"1340","ZNF544","OK","groupNormal",-0.9446122,0.4786922,-1.9733,0.0489,1
"1341","RPS5","OK","groupNormal",0.2025623,0.0783074,2.5868,0.00994,1
"1342","ZNF324","OK","groupNormal",2.131163,1.003691,2.1233,0.0342,1
"1343","IL17RA","OK","groupNormal",0.9186063,0.4025714,2.2818,0.0229,1
"1344","CLDN5","OK","groupNormal",0.4202024,0.1177468,3.5687,4e-04,1
"1345","TXNRD2","OK","groupNormal",-1.424185,0.5733714,-2.4839,0.0133,1
"1346","SDF2L1","OK","groupNormal",0.4957494,0.2373278,2.0889,0.0372,1
"1347","PPM1F","OK","groupNormal",0.7913885,0.2918856,2.7113,0.0069,1
"1348","MIF","OK","groupNormal",0.4886641,0.1570697,3.1111,0.00196,1
"1349","SELM","OK","groupNormal",0.3728016,0.1327308,2.8087,0.00515,1
"1350","TIMP3","OK","groupNormal",0.1241525,0.0421841,2.9431,0.00338,1
"1351","CSF2RB","OK","groupNormal",-1.441885,0.5928271,-2.4322,0.0153,1
"1352","TST","OK","groupNormal",-0.7679426,0.3814566,-2.0132,0.0446,1
"1353","NOL12","OK","groupNormal",-0.8791682,0.3748992,-2.3451,0.0194,1
"1354","POLR2F","OK","groupNormal",-0.688113,0.2143873,-3.2097,0.0014,1
"1355","MAFF","OK","groupNormal",-0.3200328,0.1185823,-2.6988,0.00717,1
"1356","CBX6","OK","groupNormal",1.821008,0.5228172,3.4831,0.000534,1
"1357","CBX7","OK","groupNormal",0.8538587,0.4186005,2.0398,0.0418,1
"1358","RPL3","OK","groupNormal",0.1773705,0.0523984,3.385,0.000761,1
"1359","TNRC6B","OK","groupNormal",0.3220116,0.1330348,2.4205,0.0158,1
"1360","ST13","OK","groupNormal",-0.4087505,0.1379273,-2.9635,0.0032,1
"1361","TOB2","OK","groupNormal",-0.3787104,0.1819228,-2.0817,0.0378,1
"1362","SMDT1","OK","groupNormal",0.3874126,0.1909067,2.0293,0.0429,1
"1363","RRP7A","OK","groupNormal",0.7280613,0.3701084,1.9672,0.0497,1
"1364","TSPO","OK","groupNormal",-0.4050371,0.1708244,-2.3711,0.0181,1
"1365","KIAA0930","OK","groupNormal",-1.212876,0.5230751,-2.3187,0.0208,1
"1366","ATXN10","OK","groupNormal",-0.5768874,0.2560661,-2.2529,0.0246,1
"1367","CERK","OK","groupNormal",0.9892001,0.2365918,4.181,3.36e-05,1
"1368","TBC1D22A","OK","groupNormal",0.7642866,0.368962,2.0715,0.0388,1
"1369","C22orf34","OK","groupNormal",1.850861,0.8295476,2.2312,0.0261,1
"1370","BRD1","OK","groupNormal",0.7936586,0.3476319,2.283,0.0228,1
"1371","PIM3","OK","groupNormal",0.4733771,0.1276693,3.7078,0.00023,1
"1372","TYMP","OK","groupNormal",0.407966,0.182126,2.24,0.0255,1
"1373","SHANK3","OK","groupNormal",0.240013,0.1032672,2.3242,0.0205,1
"1374","SAMSN1","OK","groupNormal",1.247662,0.5609321,2.2243,0.0265,1
"1375","NRIP1","OK","groupNormal",0.2537896,0.1091662,2.3248,0.0204,1
"1376","BTG3","OK","groupNormal",0.450629,0.2156832,2.0893,0.0371,1
"1377","JAM2","OK","groupNormal",-0.2235638,0.0869393,-2.5715,0.01038,1
"1378","ADAMTS1","OK","groupNormal",0.2489844,0.1197473,2.0792,0.038,1
"1379","BACH1","OK","groupNormal",-0.3317649,0.1673988,-1.9819,0.048,1
"1380","TIAM1","OK","groupNormal",-1.541968,0.6003916,-2.5683,0.0105,1
"1381","C21orf59","OK","groupNormal",-0.5934167,0.2218568,-2.6748,0.00769,1
"1382","TMEM50B","OK","groupNormal",-0.4021704,0.1492761,-2.6941,0.00727,1
"1383","ETS2","OK","groupNormal",-0.1534685,0.0651249,-2.3565,0.0188,1
"1384","ABCG1","OK","groupNormal",0.5285046,0.1966238,2.6879,0.0074,1
"1385","PKNOX1","OK","groupNormal",0.9870882,0.4635819,2.1293,0.0337,1
"1386","CSTB","OK","groupNormal",-0.3755629,0.1316015,-2.8538,0.00448,1
"1387","UBE2G2","OK","groupNormal",-0.3580082,0.1706004,-2.0985,0.0363,1
"1388","PTTG1IP","OK","groupNormal",-0.2384994,0.0824708,-2.8919,0.00398,1
"1389","ADARB1","OK","groupNormal",-1.071584,0.3155601,-3.3958,0.000732,1
"1390","COL18A1","OK","groupNormal",0.2290923,0.095237,2.4055,0.0165,1
"1391","COL6A2","OK","groupNormal",1.620337,0.8079236,2.0056,0.0454,1
"1392","PRMT2","OK","groupNormal",-0.489876,0.1809037,-2.7079,0.00697,1
"1393","MT.ND1","OK","groupNormal",0.2098016,0.0516196,4.0644,5.49e-05,1
"1394","MT.ND2","OK","groupNormal",0.1445593,0.0580935,2.4884,0.0131,1
"1395","MT.CO2","OK","groupNormal",0.1330057,0.0481288,2.7635,0.0059,1
"1396","MT.ATP6","OK","groupNormal",0.1258951,0.047881,2.6293,0.00879,1
"1397","MT.ND3","OK","groupNormal",0.1669706,0.0500937,3.3332,0.000915,1
"1398","MT.CYB","OK","groupNormal",0.1387664,0.0484649,2.8632,0.00435,1
