group,symbol
CTX_2_3down_GO,Slc6a20a
CTX_2_3down_GO,Ube2o
CTX_2_3down_GO,Pcgf6
CTX_2_3down_GO,Ube2cbp
CTX_2_3down_GO,Dpm2
CTX_2_3down_GO,Ctbs
CTX_2_3down_GO,Tgfa
CTX_2_co_up_GO,Gopc
CTX_2_co_up_GO,Cadps2
CTX_2_co_up_GO,Gnai3
CTX_2_co_up_GO,Smpdl3a
CTX_2_co_up_GO,Klf6
CTX_2_co_up_GO,Hnrnph1
CTX_2_co_up_GO,Psma6
CTX_2_co_down_GO,Pycr1
CTX_2_co_down_GO,Tgfa
CTX_2_co_down_GO,Rhobtb3
CTX_uniq_3up_GO,Cadps2
CTX_uniq_3up_GO,Gipc1
CTX_uniq_3up_GO,Lin7a
CTX_uniq_3up_GO,Syt4
CTX_uniq_3up_GO,Cplx4
CTX_uniq_3up_GO,Dnm1
CTX_uniq_3up_GO,Snap25
CTX_uniq_3up_GO,Stx1b
CTX_uniq_3up_GO,Kif3c
CTX_uniq_3up_GO,Spry2
CTX_uniq_3up_GO,Arfgap2
CTX_uniq_3up_GO,Nmd3
CTX_uniq_3up_GO,Gnai3
CTX_uniq_3up_GO,Cdadc1
CTX_uniq_3up_GO,Adal
CTX_uniq_3up_GO,Hddc3
CTX_uniq_3up_GO,Adk
CTX_uniq_3up_GO,Rab14
CTX_uniq_3up_GO,Tbc1d20
CTX_uniq_3up_GO,Hnrnph1
CTX_uniq_3up_GO,Pdia3
CTX_uniq_3up_GO,Smchd1
CTX_uniq_3up_GO,Nacc2
CTX_uniq_3up_GO,Pcna
CTX_uniq_3up_GO,Timeless
CTX_uniq_3up_GO,Cbx8
CTX_uniq_3up_GO,Rala
CTX_uniq_3up_GO,Lrp4
CTX_uniq_3up_GO,Tiam1
CTX_uniq_3up_GO,Vav2
CTX_uniq_3up_GO,Plekhg4
CTX_uniq_3up_GO,Arhgap1
CTX_uniq_3up_GO,Tbc1d16
CTX_uniq_3up_GO,Snw1
CTX_uniq_3up_GO,Ppp2r5e
CTX_uniq_3up_GO,Ppm1a
CTX_uniq_3up_GO,Ptpra
CTX_uniq_3up_GO,Dusp9
CTX_uniq_3up_GO,Cdc25c
CTX_uniq_3up_GO,Dusp14
CTX_uniq_3up_GO,Il12b
CTX_uniq_3up_GO,Elf4
CTX_uniq_3up_GO,Stac2
CTX_uniq_3up_GO,Cdk1
CTX_uniq_3up_GO,Map1a
CTX_uniq_3up_GO,Galnt1
CTX_uniq_3up_GO,Sbk1
CTX_uniq_3up_GO,Adat2
CTX_uniq_3up_GO,Elp2
CTX_uniq_3up_GO,Rpain
CTX_uniq_3up_GO,Ube4b
CTX_uniq_3up_GO,Zc3h13
CTX_uniq_3up_GO,Trmt112
CTX_uniq_3up_GO,Dnajb1
CTX_uniq_3up_GO,Dnajc3
CTX_uniq_3up_GO,Tbrg1
CTX_uniq_3up_GO,Gopc
CTX_uniq_3up_GO,Fyb
CTX_uniq_3up_GO,Dnmt3a
CTX_uniq_3up_GO,Dcp1a
CTX_uniq_3up_GO,Slc9a5
CTX_uniq_3up_GO,Ednrb
CTX_uniq_3up_GO,Slc4a2
CTX_uniq_3up_GO,Smpdl3a
CTX_uniq_3up_GO,Nav3
CTX_uniq_3down_GO,Rcn3
CTX_uniq_3down_GO,Xbp1
CTX_uniq_3down_GO,Fabp3
CTX_uniq_3down_GO,Dgat2
CTX_uniq_3down_GO,Wnk4
CTX_uniq_3down_GO,Cdk4
CTX_uniq_3down_GO,Tysnd1
CTX_uniq_3down_GO,Nr1d1
CTX_uniq_3down_GO,Ormdl1
CTX_uniq_3down_GO,Stoml2
CTX_uniq_3down_GO,Dkk3
CTX_uniq_3down_GO,Star
CTX_uniq_3down_GO,Atg14
CTX_uniq_3down_GO,Denr
CTX_uniq_3down_GO,Riok3
CTX_uniq_3down_GO,Gnl3l
CTX_uniq_3down_GO,Eif2d
CTX_uniq_3down_GO,Nvl
CTX_uniq_3down_GO,Cul4a
CTX_uniq_3down_GO,Frg1
CTX_uniq_3down_GO,Gemin5
CTX_uniq_3down_GO,Rpl10a
CTX_uniq_3down_GO,Xab2
CTX_uniq_3down_GO,Cnot2
CTX_uniq_3down_GO,4932438A13Rik
CTX_uniq_3down_GO,Sptbn4
CTX_uniq_3down_GO,Map2
CTX_uniq_3down_GO,Adarb1
CTX_uniq_3down_GO,Fgfr2
CTX_uniq_3down_GO,Slit2
CTX_uniq_3down_GO,Carmil1
CTX_uniq_3down_GO,Anxa7
CTX_uniq_3down_GO,Capzb
CTX_uniq_3down_GO,Ocm
CTX_uniq_3down_GO,Ist1
CTX_uniq_3down_GO,Bag4
CTX_uniq_3down_GO,Hp1bp3
CTX_uniq_3down_GO,Mak
CTX_uniq_3down_GO,Hdgfl3
CTX_uniq_3down_GO,Msx3
CTX_uniq_3down_GO,Slc6a8
CTX_uniq_3down_GO,Ywhae
CTX_uniq_3down_GO,Rgs7
CTX_uniq_3down_GO,Slc5a11
CTX_uniq_3down_GO,Ank1
CTX_uniq_3down_GO,Slc17a2
CTX_uniq_3down_GO,Slc38a8
CTX_uniq_3down_GO,Sdccag8
CTX_uniq_3down_GO,Odf2
CTX_uniq_3down_GO,Anln
CTX_uniq_3down_GO,Rpgr
CTX_uniq_3down_GO,Bbs7
CTX_uniq_3down_GO,Ctsb
CTX_uniq_3down_GO,Smc3
CTX_uniq_3down_GO,Pglyrp1
CTX_uniq_3down_GO,Sar1b
CTX_uniq_3down_GO,Pld2
CTX_uniq_3down_GO,Hdac3
CTX_uniq_3down_GO,Nfasc
CTX_uniq_3down_GO,Blzf1
CTX_uniq_3down_GO,Gripap1
CTX_uniq_3down_GO,Pdpk1
CTX_uniq_3down_GO,Cybb
CTX_uniq_3down_GO,Fundc1
CTX_uniq_3down_GO,Casp1
CTX_uniq_3down_GO,Tacc3
CTX_uniq_3down_GO,Map2k4
CTX_uniq_3down_GO,Rwdd1
CTX_uniq_3down_GO,Ncf2
CTX_uniq_3down_GO,Egln3
CTX_uniq_3down_GO,Ak2
CTX_uniq_3down_GO,Ampd3
CTX_uniq_3down_GO,Tspyl2
CTX_uniq_3down_GO,Tmed2
CTX_uniq_3down_GO,Disp1
CTX_uniq_3down_GO,Uri1
CTX_uniq_3down_GO,Asb1
CTX_uniq_3down_GO,Dhcr24
CTX_uniq_3down_GO,Morc3
CTX_uniq_3down_GO,Slc6a20a
CTX_uniq_3down_GO,Ube2o
CTX_uniq_3down_GO,Pcgf6
CTX_uniq_3down_GO,Ube2cbp
CTX_uniq_3down_GO,Dpm2
CTX_uniq_3down_GO,Ctbs
CTX_uniq_3down_GO,Tgfa
CTX_uniq_co_up_GO,Gopc
CTX_uniq_co_up_GO,Cadps2
CTX_uniq_co_up_GO,Gnai3
CTX_uniq_co_up_GO,Smpdl3a
CTX_uniq_co_up_GO,Klf6
CTX_uniq_co_up_GO,Hnrnph1
CTX_uniq_co_up_GO,Psma6
CTX_uniq_co_down_GO,Pycr1
CTX_uniq_co_down_GO,Tgfa
CTX_uniq_co_down_GO,Rhobtb3
PVN_2_3up_GO,Trim25
PVN_2_3up_GO,Rad50
PVN_2_3up_GO,Nbn
PVN_2_3up_GO,Ngfr
PVN_2_3up_GO,Epn2
PVN_2_3up_GO,E2f2
PVN_2_3up_GO,Cdkn1b
PVN_2_3up_GO,Cd34
PVN_2_3up_GO,Enpp3
PVN_2_3up_GO,Bbs2
PVN_2_3up_GO,Tfpi
PVN_2_3up_GO,Bace1
PVN_2_3up_GO,Nploc4
PVN_2_3up_GO,Cyba
PVN_2_3up_GO,Rps6kb1
PVN_2_3up_GO,Ilk
PVN_2_3up_GO,Gnai3
PVN_2_3up_GO,Cox5a
PVN_2_3up_GO,Atp5pb
PVN_2_3up_GO,Cad
PVN_2_3up_GO,Gale
PVN_2_3up_GO,Ppp2r5c
PVN_2_3up_GO,Mapk7
PVN_2_3up_GO,Ppp2r1a
PVN_2_3up_GO,Eya4
PVN_2_3up_GO,Dnaja3
PVN_2_3up_GO,Coro1c
PVN_2_3up_GO,Slamf6
PVN_2_3up_GO,Slamf1
PVN_2_3up_GO,Plag1
PVN_2_3up_GO,Psap
PVN_2_3up_GO,Fasn
PVN_2_3up_GO,Miga2
PVN_2_3up_GO,Kif5b
PVN_2_3up_GO,Cntnap1
PVN_2_3up_GO,Cacna1d
PVN_2_3up_GO,Scn10a
PVN_2_3up_GO,Cdh4
PVN_2_3up_GO,Cntnap4
PVN_2_3up_GO,Map4k2
PVN_2_3up_GO,Map3k14
PVN_2_3up_GO,Plekha2
PVN_2_3up_GO,Efhb
PVN_2_3up_GO,Bace2
PVN_2_3down_GO,Mtfr2
PVN_2_3down_GO,Igf1
PVN_2_3down_GO,Ndufs1
PVN_2_3down_GO,Idh3g
PVN_2_3down_GO,Slc25a18
PVN_2_3down_GO,Insr
PVN_2_3down_GO,Taz
PVN_2_3down_GO,Mdh1
PVN_2_3down_GO,Pomc
PVN_2_3down_GO,Nfatc4
PVN_2_3down_GO,Rb1cc1
PVN_2_3down_GO,Surf1
PVN_2_3down_GO,Prpf8
PVN_2_3down_GO,Limd1
PVN_2_3down_GO,Sbds
PVN_2_3down_GO,Sfswap
PVN_2_3down_GO,Strap
PVN_2_3down_GO,Shq1
PVN_2_3down_GO,Celf1
PVN_2_3down_GO,Mrpl22
PVN_2_3down_GO,Coq8a
PVN_2_3down_GO,Coq8b
PVN_2_3down_GO,Txnrd1
PVN_2_3down_GO,Golga2
PVN_2_3down_GO,Ppp3r1
PVN_2_3down_GO,Rcan1
PVN_2_3down_GO,Arl2bp
PVN_2_3down_GO,Il10ra
PVN_2_3down_GO,Ccl5
PVN_2_3down_GO,Akr1b3
PVN_2_3down_GO,Ager
PVN_2_3down_GO,Sac3d1
PVN_2_3down_GO,Gne
PVN_2_3down_GO,Fblim1
PVN_2_3down_GO,Plek
PVN_2_3down_GO,Fn1
PVN_2_3down_GO,Nutf2
PVN_2_3down_GO,Rpain
PVN_2_3down_GO,Agap3
PVN_2_3down_GO,Srp9
PVN_2_3down_GO,Prkcq
PVN_2_3down_GO,Lrsam1
PVN_2_3down_GO,Zfand6
PVN_2_3down_GO,Nup50
PVN_2_3down_GO,Cry1
PVN_2_3down_GO,St3gal2
PVN_2_3down_GO,G6pc3
PVN_2_3down_GO,Dusp19
PVN_2_3down_GO,Map3k13
PVN_2_3down_GO,Mapk8ip3
PVN_2_3down_GO,Lmnb1
PVN_2_3down_GO,Slirp
PVN_2_3down_GO,Optn
PVN_2_3down_GO,Rab3a
PVN_2_3down_GO,Letm1
PVN_2_3down_GO,Fez1
PVN_2_3down_GO,Dclk2
PVN_2_3down_GO,Foxj2
PVN_2_3down_GO,Gk5
PVN_2_3down_GO,Slc24a1
PVN_2_3down_GO,Fmr1
PVN_2_3down_GO,Srrm2
PVN_2_3down_GO,Puf60
PVN_2_3down_GO,Yju2
PVN_2_3down_GO,Polr2a
PVN_2_3down_GO,Rgr
PVN_2_3down_GO,Pacsin2
PVN_2_3down_GO,Nedd4l
PVN_2_3down_GO,Pabpn1
PVN_2_3down_GO,Pan2
PVN_2_3down_GO,Scly
PVN_2_3down_GO,Gldc
PVN_2_3down_GO,Rab8a
PVN_2_3down_GO,Rrad
PVN_2_3down_GO,Ctsd
PVN_2_3down_GO,Rarb
PVN_2_3down_GO,Trim67
PVN_2_3down_GO,Ints3
PVN_2_3down_GO,Tipin
PVN_2_3down_GO,Nabp1
PVN_2_3down_GO,Siglec1
PVN_2_3down_GO,Abhd12
PVN_2_3down_GO,Bag6
PVN_2_3down_GO,Etaa1
PVN_2_3down_GO,Trmu
PVN_2_3down_GO,Elp4
PVN_2_3down_GO,Syn2
PVN_2_co_up_GO,Ngfr
PVN_2_co_up_GO,Epn2
PVN_2_co_up_GO,E2f2
PVN_2_co_up_GO,Mapk7
PVN_2_co_up_GO,Ppp2r1a
PVN_2_co_up_GO,Eya4
PVN_2_co_up_GO,Cdkn1b
PVN_2_co_up_GO,Plag1
PVN_2_co_up_GO,Psap
PVN_2_co_up_GO,Slamf6
PVN_2_co_up_GO,Slamf1
PVN_2_co_up_GO,Rps6kb1
PVN_2_co_up_GO,Cd34
PVN_2_co_up_GO,Dnaja3
PVN_2_co_up_GO,Coro1c
PVN_2_co_up_GO,Trim25
PVN_2_co_up_GO,Rad50
PVN_2_co_up_GO,Cox5a
PVN_2_co_up_GO,Atp5pb
PVN_2_co_up_GO,Cad
PVN_2_co_up_GO,Enpp3
PVN_2_co_up_GO,Fasn
PVN_2_co_up_GO,Cacna1d
PVN_2_co_up_GO,Cyba
PVN_2_co_up_GO,Cdh4
PVN_2_co_up_GO,Bbs2
PVN_2_co_up_GO,Ppp2r5c
PVN_2_co_up_GO,Cntnap1
PVN_2_co_up_GO,Rab3d
PVN_2_co_up_GO,Fgf6
PVN_2_co_down_GO,Golga2
PVN_2_co_down_GO,Dnajc7
PVN_uniq_3up_GO,Trim25
PVN_uniq_3up_GO,Rad50
PVN_uniq_3up_GO,Nbn
PVN_uniq_3up_GO,Ngfr
PVN_uniq_3up_GO,Epn2
PVN_uniq_3up_GO,E2f2
PVN_uniq_3up_GO,Cdkn1b
PVN_uniq_3up_GO,Cd34
PVN_uniq_3up_GO,Enpp3
PVN_uniq_3up_GO,Bbs2
PVN_uniq_3up_GO,Tfpi
PVN_uniq_3up_GO,Bace1
PVN_uniq_3up_GO,Nploc4
PVN_uniq_3up_GO,Cyba
PVN_uniq_3up_GO,Rps6kb1
PVN_uniq_3up_GO,Ilk
PVN_uniq_3up_GO,Gnai3
PVN_uniq_3up_GO,Cox5a
PVN_uniq_3up_GO,Atp5pb
PVN_uniq_3up_GO,Cad
PVN_uniq_3up_GO,Gale
PVN_uniq_3up_GO,Ppp2r5c
PVN_uniq_3up_GO,Mapk7
PVN_uniq_3up_GO,Ppp2r1a
PVN_uniq_3up_GO,Eya4
PVN_uniq_3up_GO,Dnaja3
PVN_uniq_3up_GO,Coro1c
PVN_uniq_3up_GO,Slamf6
PVN_uniq_3up_GO,Slamf1
PVN_uniq_3up_GO,Fasn
PVN_uniq_3up_GO,Plag1
PVN_uniq_3up_GO,Psap
PVN_uniq_3up_GO,Miga2
PVN_uniq_3up_GO,Kif5b
PVN_uniq_3up_GO,Cntnap1
PVN_uniq_3up_GO,Cacna1d
PVN_uniq_3up_GO,Scn10a
PVN_uniq_3up_GO,Cdh4
PVN_uniq_3up_GO,Map4k2
PVN_uniq_3up_GO,Map3k14
PVN_uniq_3up_GO,Cntnap4
PVN_uniq_3up_GO,Plekha2
PVN_uniq_3up_GO,Efhb
PVN_uniq_3up_GO,Bace2
PVN_uniq_3down_GO,Mtfr2
PVN_uniq_3down_GO,Igf1
PVN_uniq_3down_GO,Ndufs1
PVN_uniq_3down_GO,Idh3g
PVN_uniq_3down_GO,Slc25a18
PVN_uniq_3down_GO,Insr
PVN_uniq_3down_GO,Taz
PVN_uniq_3down_GO,Mdh1
PVN_uniq_3down_GO,Pomc
PVN_uniq_3down_GO,Nfatc4
PVN_uniq_3down_GO,Rb1cc1
PVN_uniq_3down_GO,Surf1
PVN_uniq_3down_GO,Prpf8
PVN_uniq_3down_GO,Limd1
PVN_uniq_3down_GO,Sbds
PVN_uniq_3down_GO,Sfswap
PVN_uniq_3down_GO,Strap
PVN_uniq_3down_GO,Shq1
PVN_uniq_3down_GO,Celf1
PVN_uniq_3down_GO,Mrpl22
PVN_uniq_3down_GO,Coq8a
PVN_uniq_3down_GO,Coq8b
PVN_uniq_3down_GO,Txnrd1
PVN_uniq_3down_GO,Golga2
PVN_uniq_3down_GO,Ppp3r1
PVN_uniq_3down_GO,Rcan1
PVN_uniq_3down_GO,Arl2bp
PVN_uniq_3down_GO,Il10ra
PVN_uniq_3down_GO,Ccl5
PVN_uniq_3down_GO,Akr1b3
PVN_uniq_3down_GO,Ager
PVN_uniq_3down_GO,Sac3d1
PVN_uniq_3down_GO,Gne
PVN_uniq_3down_GO,Nutf2
PVN_uniq_3down_GO,Rpain
PVN_uniq_3down_GO,Agap3
PVN_uniq_3down_GO,Srp9
PVN_uniq_3down_GO,Prkcq
PVN_uniq_3down_GO,Lrsam1
PVN_uniq_3down_GO,Zfand6
PVN_uniq_3down_GO,Nup50
PVN_uniq_3down_GO,Fblim1
PVN_uniq_3down_GO,Plek
PVN_uniq_3down_GO,Fn1
PVN_uniq_3down_GO,Cry1
PVN_uniq_3down_GO,St3gal2
PVN_uniq_3down_GO,G6pc3
PVN_uniq_3down_GO,Dusp19
PVN_uniq_3down_GO,Map3k13
PVN_uniq_3down_GO,Mapk8ip3
PVN_uniq_3down_GO,Lmnb1
PVN_uniq_3down_GO,Slirp
PVN_uniq_3down_GO,Optn
PVN_uniq_3down_GO,Rab3a
PVN_uniq_3down_GO,Letm1
PVN_uniq_3down_GO,Fez1
PVN_uniq_3down_GO,Dclk2
PVN_uniq_3down_GO,Foxj2
PVN_uniq_3down_GO,Gk5
PVN_uniq_3down_GO,Srrm2
PVN_uniq_3down_GO,Fmr1
PVN_uniq_3down_GO,Puf60
PVN_uniq_3down_GO,Yju2
PVN_uniq_3down_GO,Polr2a
PVN_uniq_3down_GO,Slc24a1
PVN_uniq_3down_GO,Pabpn1
PVN_uniq_3down_GO,Pan2
PVN_uniq_3down_GO,Rgr
PVN_uniq_3down_GO,Pacsin2
PVN_uniq_3down_GO,Nedd4l
PVN_uniq_3down_GO,Rab8a
PVN_uniq_3down_GO,Ctsd
PVN_uniq_3down_GO,Rarb
PVN_uniq_3down_GO,Trim67
PVN_uniq_3down_GO,Scly
PVN_uniq_3down_GO,Gldc
PVN_uniq_3down_GO,Rrad
PVN_uniq_3down_GO,Siglec1
PVN_uniq_3down_GO,Abhd12
PVN_uniq_3down_GO,Bag6
PVN_uniq_3down_GO,Etaa1
PVN_uniq_3down_GO,Trmu
PVN_uniq_3down_GO,Elp4
PVN_uniq_3down_GO,Syn2
PVN_uniq_co_up_GO,Ngfr
PVN_uniq_co_up_GO,Epn2
PVN_uniq_co_up_GO,E2f2
PVN_uniq_co_up_GO,Mapk7
PVN_uniq_co_up_GO,Ppp2r1a
PVN_uniq_co_up_GO,Eya4
PVN_uniq_co_up_GO,Cdkn1b
PVN_uniq_co_up_GO,Plag1
PVN_uniq_co_up_GO,Psap
PVN_uniq_co_up_GO,Slamf6
PVN_uniq_co_up_GO,Slamf1
PVN_uniq_co_up_GO,Rps6kb1
PVN_uniq_co_up_GO,Cd34
PVN_uniq_co_up_GO,Dnaja3
PVN_uniq_co_up_GO,Coro1c
PVN_uniq_co_up_GO,Trim25
PVN_uniq_co_up_GO,Rad50
PVN_uniq_co_up_GO,Cox5a
PVN_uniq_co_up_GO,Atp5pb
PVN_uniq_co_up_GO,Cad
PVN_uniq_co_up_GO,Enpp3
PVN_uniq_co_up_GO,Fasn
PVN_uniq_co_up_GO,Cacna1d
PVN_uniq_co_up_GO,Cyba
PVN_uniq_co_up_GO,Cdh4
PVN_uniq_co_up_GO,Bbs2
PVN_uniq_co_up_GO,Ppp2r5c
PVN_uniq_co_up_GO,Cntnap1
PVN_uniq_co_up_GO,Rab3d
PVN_uniq_co_up_GO,Fgf6
PVN_uniq_co_down_GO,Golga2
PVN_uniq_co_down_GO,Dnajc7
